Brand,Type,Material,color,FromNewSeason,ManufacturingCountry,Description,Price
GANNI,Tote Bags,organic cotton,jet black/canary yellow/ light beige,New Season,,0,190
Tory Burch,Shoulder Bags,calf leather,cream white,New Season,,1,390
MM6 Maison Margiela,Tote Bags,calf leather,green,New Season,,1,343
Alexander Wang,Mini Bags,silver-tone hardware,faded neon orange,New Season,Made in Italy,0,720
Vanina,Clutch Bags,glass,milk white,New Season,,0,438
Isabel Marant,Shoulder Bags,calf leather,burgundy,New Season,,0,951
Tory Burch,Tote Bags,calf leather,brown,,,0,1035
Valentino Garavani,Tote Bags,,,,Made in Italy,0,2522
Valentino Garavani,Messenger & Crossbody Bags,,,,Made in Italy,0,1399
Stella McCartney,Shoulder Bags,faux leather,black,New Season,Made in Italy,1,1440
Chloé,Messenger & Crossbody Bags,calf leather,caramel brown,New Season,Made in Italy,0,1094
Dolce & Gabbana,Messenger & Crossbody Bags,leather,black,New Season,Made in Italy,0,1327
TOM FORD,Shoulder Bags,leather,black,New Season,Made in Italy,1,1140
Amina Muaddi,Clutch Bags,crystal embellishment,silver-tone,New Season,Made in Italy,1,1583
Vanina,Shoulder Bags,calf leather,silver-tone,New Season,,0,294
Tory Burch,Messenger & Crossbody Bags,leather,black ,New Season,,0,520
Jimmy Choo,Tote Bags,,,,Made in Italy,0,1000
Stella McCartney,Tote Bags,faux leather,black,New Season,Made in Italy,0,1087
Kvadrat,Tote Bags,wool blend,dark green,,Made in Italy,1,428
Bao Bao Issey Miyake,Tote Bags,artificial leather,plum purple,New Season,,0,609
Wandler,Tote Bags,calf leather,camel brown,New Season,Made in Italy,0,965
Rosantica,Mini Bags,metal/glass/pearl,rose pink/gold-tone,New Season,,0,1156
Alexander Wang,Mini Bags,bear shape,crystal embellishment,,,1,1135
Tod's,Shoulder Bags,calf leather,black,New Season,Made in Italy,0,1135
GANNI,Messenger & Crossbody Bags,recycled polyester,black/beige,New Season,,0,165
TOM FORD,Tote Bags,calf leather,black,New Season,Made in Italy,1,2810
STAND STUDIO,Clutch Bags,lambskin,beige,,,0,477
FPM Milano,Luggage,,,,Made in Italy,0,2017
Stella McCartney,Shoulder Bags,chain-link detailing,black,New Season,Made in Italy,0,1224
Tod's,Shoulder Bags,calf leather,black,,Made in Italy,0,2185
Balmain,Shoulder Bags,cotton blend,off-white/brown,New Season,,0,915
GANNI,Tote Bags,recycled polyamide,lemon yellow,New Season,,1,215
Jacquemus,Tote Bags,single flat top handle,black,,Made in Italy,1,752
Versace,Messenger & Crossbody Bags,calf leather,jet black,,Made in Italy,0,2330
See by Chloé,Shoulder Bags,leather,black,New Season,,1,555
Isabel Marant,Shoulder Bags,Crafted from leather,Russet brown,,Made in Italy,1,910
Tory Burch,Shoulder Bags,silver-tone logo plaque,black,Conscious,,1,362
Tory Burch,Messenger & Crossbody Bags,calf leather,auburn brown,New Season,,0,397
Isabel Marant,Messenger & Crossbody Bags,,,,,1,540
Vanina,Shoulder Bags,glass,white,New Season,,0,554
Jacquemus,Tote Bags,cotton,light grey,,,1,848
Lemaire,Shoulder Bags,canvas,black,New Season,,1,862
Balmain,Tote Bags,cotton-linen blend/calf leather,beige/brown,New Season,Made in Italy,0,1080
Ferragamo,Tote Bags,leather,black,,Made in Italy,1,615
Chloé,Tote Bags,calf leather,black/multicolour,New Season,Made in Italy,0,1694
Tod's,Tote Bags,,,,,0,1887
BY FAR,Mini Bags,pink/purple,goatskin/cotton,New Season,,1,320
Jacquemus,Tote Bags,leather,pale blue,New Season,Made in Italy,1,875
GANNI,Shoulder Bags,recycled leather,black,New Season,,0,390
Isabel Marant,Belt Bags,calf leather,black,New Season,,0,575
Tory Burch,Tote Bags,logo patch to the front,cream/camel brown,,,1,595
DeMellier,Messenger & Crossbody Bags,calf leather,cognac brown,New Season,,0,465
Alexander Wang,Shoulder Bags,rhinestone embellishment,black,,Made in United States,1,790
See by Chloé,Tote Bags,goatskin/cotton/linen,caramel brown/white,New Season,,0,581
STAND STUDIO,Shoulder Bags,lambskin,sandstone,,,0,543
Isabel Marant,Tote Bags,cotton,blue,New Season,,0,220
Dolce & Gabbana,Shoulder Bags,leather,powder pink,New Season,Made in Italy,1,1936
Ferragamo,Bucket Bags,calfskin,sienna tan,,Made in Italy,1,1385
Isabel Marant,Belt Bags,leather,black ,,,0,643
Floyd,Luggage,aluminium,magic purple ,,,1,579
Isabel Marant,Shoulder Bags,calf leather,black,New Season,,1,805
Jacquemus,Shoulder Bags,cotton,off-white,,Made in Italy,0,1067
Tory Burch,Tote Bags,calf leather,tigers eye brown,,,1,1682
STATE OF ESCAPE,Tote Bags,fully perforated,black,New Season,,0,301
Valentino Garavani,Tote Bags,calf leather,grape purple,,Made in Italy,1,1399
Tory Burch,Bucket Bags,,,Conscious,,0,372
Jimmy Choo,Tote Bags,EcoVero™ viscose-silk blend,wisteria purple,New Season,Made in Italy,1,675
STAUD,Shoulder Bags,bead embellishment,multicolour,New Season,,0,390
Versace,Mini Bags,leather,black,New Season,Made in Italy,1,1094
See by Chloé,Shoulder Bags,calf leather,black,New Season,,0,470
STAUD,Tote Bags,calf leather,black,New Season,,0,376
STAUD,Mini Bags,calf leather,cream white,New Season,,0,376
lululemon,Tote Bags,recycled polyester,black,New Season,,1,178
Valentino Garavani,Shoulder Bags,Roman Stud diamond quilting,Black,Runway,Made in Italy,1,3307
Wandler,Shoulder Bags,,,New Season,Made in Italy,0,834
Wandler,Shoulder Bags,leather,black,New Season,Made in Italy,0,775
STAND STUDIO,Tote Bags,quilted,bright green,,,0,450
STAND STUDIO,Tote Bags,faux-fur design,ecru beige,,,0,477
Jil Sander,Messenger & Crossbody Bags,calf leather,jet black,New Season,Made in Italy,0,675
Vilebrequin,Tote Bags,,,,,0,130
ETRO,Tote Bags,cotton blend/calf leather,brown/multicolour,New Season,Made in Italy,0,608
Tory Burch,Shoulder Bags,,,,,0,585
Tod's,Tote Bags,polished finish,brown,New Season,Made in Italy,1,1400
Tory Burch,Shoulder Bags,lambskin,sandpiper brown,,,0,415
Moschino,Shoulder Bags,faux leather/cotton ,black/brown,New Season,Made in Italy,0,833
Tory Burch,Shoulder Bags,calf leather,beige,,,0,620
Tory Burch,Messenger & Crossbody Bags,calf leather,black,New Season,,0,725
Ferragamo,Shoulder Bags,calf leather,black,,Made in Italy,1,1901
The Attico,Tote Bags,calf leather,black,New Season,Made in Italy,1,790
FPM Milano,Luggage,,,,Made in Italy,0,1772
Versace,Shoulder Bags,calf leather/lambskin,black,,Made in Italy,1,2345
Dolce & Gabbana,Tote Bags,leather,black,,Made in Italy,1,1327
Alexander Wang,Bucket Bags,glass,black,New Season,,0,1360
Dolce & Gabbana,Mini Bags,calfskin,dark red,New Season,Made in Italy,0,1480
Balmain,Shoulder Bags,monogram pattern,beige/white,New Season,,1,1505
Stella McCartney,Tote Bags,faux leather,grey,New Season,Made in Italy,0,1285
Stella McCartney,Tote Bags,faux leather,black,New Season,Made in Italy,1,1739
Jimmy Choo,Tote Bags,denim,black/blue,New Season,Made in Italy,1,1165
DeMellier,Shoulder Bags,calf leather,chestnut brown,New Season,,0,520
Bao Bao Issey Miyake,Tote Bags,faux leather,dark green,New Season,,0,957
Tory Burch,Tote Bags,calf leather,ivory white,New Season,Made in United Kingdom,1,520
See by Chloé,Shoulder Bags,calf leather,jet black,New Season,,0,510
Rapha,Backpacks,reflective effect,black/grey,New Season,,1,219
MM6 Maison Margiela,Tote Bags,,,New Season,,0,245
Alexander McQueen,Tote Bags,,,,Made in Italy,0,2010
See by Chloé,Messenger & Crossbody Bags,calf leather/cotton,black,New Season,,0,535
Isabel Marant,Messenger & Crossbody Bags,calf leather/calf suede,khaki green/brown,New Season,,1,460
Tory Burch,Shoulder Bags,vertical stripe pattern,navy blue/beige/white,New Season,,0,752
Vanina,Mini Bags,faux-pearl embellishment,white,New Season,,0,383
Wandler,Tote Bags,calf leather,light brown,Conscious,Made in Italy,1,998
Valentino Garavani,Shoulder Bags,leather,red,,Made in Italy,1,1399
Valentino Garavani,Tote Bags,VLogo Signature,bright red/beige,New Season,Made in Italy,0,2236
Tod's,Tote Bags,calf leather,light brown,New Season,Made in Italy,0,1555
JW Anderson,Shoulder Bags,calf leather,white/gold-tone,,,1,924
Sophie Bille Brahe,Clutch Bags,,,,Made in Italy,0,103
Ferragamo,Tote Bags,calf leather/raffia,brown/beige,,Made in Italy,1,2752
STAND STUDIO,Tote Bags,cotton,beige,,,0,450
MM6 Maison Margiela,Shoulder Bags,calf leather top handle,black,New Season,Made in Italy,1,575
See by Chloé,Messenger & Crossbody Bags,calf leather/cotton,cement beige,New Season,,0,570
Moschino,Shoulder Bags,all-over monogram print ,pink,New Season,Made in Italy,0,593
Stella McCartney,Messenger & Crossbody Bags,signature diamond-cut chain-link trim,lilac purple,New Season,Made in Italy,1,620
See by Chloé,Tote Bags,calf leather/cotton,dark red,New Season,,0,540
Stella McCartney,Clutch Bags,faux leather,black,New Season,Made in Italy,1,670
Versace,Mini Bags,leather,hot pink,New Season,Made in Italy,1,995
STAND STUDIO,Shoulder Bags,lambskin,burgundy,,,0,477
Paco Rabanne,Shoulder Bags,all-over heart shaped sequin embellishment,gold-tone,New Season,,1,810
Tory Burch,Tote Bags,recycled polyester,multicolour,New Season,,0,930
Chloé,Tote Bags,leather,sepia brown,,Made in Italy,1,1710
Dolce & Gabbana,Mini Bags,calf leather,rose red,,Made in Italy,0,1383
Valentino Garavani,Shoulder Bags,leather,ivory white,,Made in Italy,1,3434
Valentino Garavani,Messenger & Crossbody Bags,Rockstud embellishments,Light ivory white,,Made in Italy,1,1720
Stella McCartney,Shoulder Bags,chain-link trim,black,Conscious,Made in Italy,1,1660
Balmain,Shoulder Bags,lambskin,black,New Season,Made in Italy,1,2215
Jil Sander,Tote Bags,leather,black,,Made in Italy,1,2097
STAUD,Tote Bags,calf leather,cream,New Season,,0,349
STAND STUDIO,Clutch Bags,lambskin,black,,,0,477
DeMellier,Shoulder Bags,calf leather,tangerine orange,New Season,,0,349
TOM FORD,Tote Bags,calf leather,taupe brown,New Season,Made in Italy,0,2175
Jimmy Choo,Bucket Bags,velvet finish,poppy red/gold-tone,New Season,Made in Italy,0,1350
TOM FORD,Clutch Bags,calf leather,hot pink,New Season,Made in Italy,1,1160
GANNI,Tote Bags,recycled cotton-cotton blend,apple green/black,New Season,,1,185
Chloé,Tote Bags,calf leather,black,New Season,Made in Italy,1,2045
TOM FORD,Shoulder Bags,calf leather,black,,Made in Italy,0,1900
Lemaire,Messenger & Crossbody Bags,lambskin,black,New Season,,0,1045
