Brand,Type,Material,color,FromNewSeason,ManufacturingCountry,Description,Price
Alexander McQueen,Clutch Bags,leather,black,,,1,2190
BY FAR,Tote Bags,patent-leather,black,,,1,524
Michael Michael Kors,Tote Bags,leather,luggage brown,,,0,273
Alexander McQueen,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,0,1110
Balenciaga,Tote Bags,woven design,black/white,Conscious,Made in Italy,1,1020
Proenza Schouler White Label,Tote Bags,leather,white/black,,,1,495
Saint Laurent,Shoulder Bags,calfskin,black,Runway,Made in Italy,1,1950
Michael Michael Kors,Messenger & Crossbody Bags,leather,Brandy red,,,0,216
Coccinelle,Shoulder Bags,calf leather,brown,,,0,291
Saint Laurent,Shoulder Bags,leather ,brown ,,Made in Italy,1,3150
Eastpak,Backpacks,all-over graphic print,white/multicolour,New Season,,0,132
ETRO,Shoulder Bags,paisley print,dark brown/multicolour,,Made in Italy,0,300
Wandler,Tote Bags,leather,black,Conscious,Made in Italy,0,881
Zadig&Voltaire,Bag Accessories,inset gemstones,aqua blue,,,0,35
Tommy Hilfiger,Messenger & Crossbody Bags,tartan check pattern,blue/dark green,New Season,,1,172
Versace,Shoulder Bags,leather,black,,Made in Italy,1,1322
Chloé,Tote Bags,linen,beige,New Season,Made in Italy,0,1297
Stella McCartney,Tote Bags,faux-leather,smoke grey,Conscious,Made in Italy,0,1139
Valentino Garavani,Tote Bags,leather,niagara blue,,Made in Italy,1,1654
Bimba y Lola,Shoulder Bags,quilted,light grey,,,0,134
See by Chloé,Shoulder Bags,leather,black/brown,,,1,345
LIU JO,Messenger & Crossbody Bags,gold-tone logo lettering,brick red,,,0,109
Roberto Cavalli,Shoulder Bags,leather,black,,Made in Italy,0,1197
Furla,Messenger & Crossbody Bags,tweed,white/multicolour,,,0,415
Karl Lagerfeld,Tote Bags,recycled cotton-cotton blend,cream white/black/white,New Season,,1,87
Emporio Armani Kids,Shoulder Bags,,,,,0,234
Balenciaga,Tote Bags,calf leather,gunmetal grey,New Season,Made in Italy,1,1850
BY FAR,Shoulder Bags,calf leather,camel yellow,,,0,399
Karl Lagerfeld,Messenger & Crossbody Bags,logo print to the front,black/multicolour,Conscious,,0,158
Stella McCartney,Tote Bags,faux leather,pink,Conscious,Made in Italy,1,1280
Versace Jeans Couture,Shoulder Bags,,,,,0,137
Marc Jacobs,Bag Accessories,logo lettering,gold-tone,New Season,,1,200
Jacquemus,Shoulder Bags,calf leather,light brown,New Season,Made in Italy,0,1145
Supreme,Backpacks,logo print to the front,red camo,New Season,Made in United States,1,239
Balmain,Shoulder Bags,calf leather,sable beige,,Made in Italy,1,2182
Isabel Marant,Shoulder Bags,leather,cognac brown,,Made in Italy,0,747
Patrizia Pepe,Clutch Bags,faux leather,bright orange,,,0,208
See by Chloé,Tote Bags,leather,black,,,1,574
Zadig&Voltaire,Tote Bags,calf leather,jet black,,,0,585
Moschino,Clutch Bags,,,,Made in Italy,0,358
Versace,Tote Bags,lambskin/calf leather,lime green,,Made in Italy,0,1739
LIU JO,Messenger & Crossbody Bags,grained texture,black,New Season,,0,132
Off-White,Messenger & Crossbody Bags,calf leather,mint green,,Made in Italy,1,1163
Michael Michael Kors,Messenger & Crossbody Bags,calf leather,black,,,0,178
Coccinelle,Messenger & Crossbody Bags,calf leather,brown,,,0,324
Karl Lagerfeld,Tote Bags,faux leather,white,New Season,,0,312
Michael Michael Kors,Tote Bags,leather,brown,,,0,291
La DoubleJ,Bucket Bags,woven raffia design,dark green/beige,New Season,Made in Italy,1,192
Orciani,Tote Bags,calf suede,blue,,Made in Italy,0,491
Bao Bao Issey Miyake,Tote Bags,geometric panelled design,light brown,,,0,913
Balmain,Shoulder Bags,khaki/black,cotton blend,New Season,Made in Italy,1,1019
LIU JO,Shoulder Bags,,,,,0,128
Balmain,Clutch Bags,cotton,black/green,New Season,Made in Italy,1,1307
BY FAR,Shoulder Bags,patent leather,bright green,,,1,521
Tommy Hilfiger,Tote Bags,faux leather,black,,,0,174
Mulberry,Shoulder Bags,leather,mulberry green,,,0,870
ATP Atelier,Tote Bags,,,Conscious,,0,552
Comme Des Garçons Wallet,Clutch Bags,,,,,0,211
Dsquared2,Tote Bags,logo patch to the front,fluorescent yellow/black,New Season,,0,460
Furla,Messenger & Crossbody Bags,leather,black,,,1,166
Jérôme Dreyfuss,Tote Bags,calf leather,chocolate brown,,,0,663
Maison Margiela,Tote Bags,linen,off-white/multicolour,,,0,1526
Marc Jacobs,Bucket Bags,cotton blend/leather,black/brown,,,0,510
Marc Jacobs,Shoulder Bags,leather,black,,,0,590
Marc Jacobs,Tote Bags,leather,black,,,0,620
STAND STUDIO,Tote Bags,faux-fur detail,brown,,,0,210
Marc Jacobs,Tote Bags,leather,black,New Season,,1,737
GANNI,Messenger & Crossbody Bags,recycled polyester,black/multicolour,New Season,,0,131
PINKO,Messenger & Crossbody Bags,cotton blend,pink,New Season,,1,234
PINKO,Messenger & Crossbody Bags,calf leather,black,New Season,,1,234
Coperni,Mini Bags,calf leather,black,,Made in Italy,0,627
Chloé,Tote Bags,leather,coral red,,Made in Italy,0,1663
GANNI,Tote Bags,recycled polyester blend,burgundy,Conscious,,0,163
Karl Lagerfeld,Messenger & Crossbody Bags,recycled materials,black,New Season,,0,165
Michael Michael Kors,Tote Bags,grained texture,white/grey,New Season,,0,210
A.P.C.,Messenger & Crossbody Bags,calf leather,tan brown,,,1,462
Balmain,Tote Bags,calf leather,light brown,New Season,,0,2304
Love Moschino,Tote Bags,faux leather,navy blue,,,0,151
Axel Arigato,Tote Bags,cotton,ecru/black,Conscious,,0,183
Calvin Klein,Messenger & Crossbody Bags,monogram plaque,black,,,0,171
PINKO,Clutch Bags,calf leather,black,New Season,,0,174
Off-White,Shoulder Bags,leather,black,,Made in Italy,1,1786
Furla,Messenger & Crossbody Bags,leather,bright red,New Season,,0,390
Karl Lagerfeld,Tote Bags,calf leather,black,New Season,,0,278
Bimba y Lola,Messenger & Crossbody Bags,calf leather,black,,,0,184
KHAITE,Tote Bags,suede,cream white,,Made in Italy,1,2242
Patou,Shoulder Bags,calf leather,light yellow,New Season,,1,653
Furla,Tote Bags,calf leather,ballerina pink,New Season,,0,282
Michael Michael Kors,Messenger & Crossbody Bags,silver-tone logo lettering,black,New Season,,0,300
Bao Bao Issey Miyake,Shoulder Bags,geometric panelled design,black,,,0,617
Marni,Shoulder Bags,calf leather,brown,,Made in Italy,1,1251
Stella McCartney,Tote Bags,faux leather,yellow,New Season,Made in Italy,1,1073
MM6 Maison Margiela,Tote Bags,single flat top handle,dark green,New Season,,0,271
Simone Rocha,Mini Bags,gold-tone hardware,black,,,1,929
Givenchy,Shoulder Bags,calf leather,jet black,New Season,Made in Italy,0,2425
Furla,Messenger & Crossbody Bags,calf leather,lilac purple,New Season,Made in Italy,0,390
STAND STUDIO,Tote Bags,faux leather,brown,,,0,251
Marni,Tote Bags,lambskin,black,New Season,Made in Italy,0,2693
Off-White,Tote Bags,calf leather,black/white,,Made in Italy,1,797
Dolce & Gabbana,Shoulder Bags,cotton blend,black,New Season,Made in Italy,0,990
Furla,Shoulder Bags,calf leather,black,New Season,,0,426
Michael Michael Kors,Tote Bags,leather ,dark brown/caramel brown ,New Season,,1,287
Balmain,Tote Bags,two-tone design,black/green,New Season,Made in Italy,0,2285
A.P.C.,Messenger & Crossbody Bags,calf leather,brown,,,1,570
Michael Michael Kors,Messenger & Crossbody Bags,leather,white,,,0,234
Michael Michael Kors,Tote Bags,faux leather,vanilla/acorn,,,0,314
Jil Sander,Messenger & Crossbody Bags,leather,black,,Made in Italy,1,774
Stella McCartney,Messenger & Crossbody Bags,faux leather,blue,Conscious,Made in Italy,1,713
Marc Jacobs,Shoulder Bags,calf leather,lilac,New Season,,1,570
Tory Burch,Messenger & Crossbody Bags,calf leather,black/gold-tone,New Season,,1,1031
Wandler,Shoulder Bags,calf leather,black,Conscious,Made in Italy,1,708
Balmain,Clutch Bags,calf leather/cotton,light blue/navy blue,New Season,Made in Italy,1,1390
Supreme,Backpacks,water-resistant,blue,New Season,,1,213
Tory Burch,Messenger & Crossbody Bags,leather,beige,,,0,413
Palm Angels,Messenger & Crossbody Bags,calf leather,black/navy blue,,Made in Italy,1,854
See by Chloé,Messenger & Crossbody Bags,goatskin,beige,New Season,,1,522
Valentino Garavani,Tote Bags,cotton,white/red,,Made in Italy,1,2102
A.P.C.,Messenger & Crossbody Bags,leather,black ,,,0,252
Proenza Schouler,Messenger & Crossbody Bags,,,,Made in Italy,1,939
MM6 Maison Margiela,Tote Bags,vegan leather,white,,,1,293
Kenzo,Tote Bags,calf leather,black,,,0,498
Stella McCartney,Shoulder Bags,faux leather,military green,Conscious,Made in Italy,1,945
Zadig&Voltaire,Bag Accessories,black,pink,,,1,115
Patou,Tote Bags,quilted,black,,,1,539
Versace,Tote Bags,calf leather,black,,Made in Italy,1,2338
Philipp Plein,Tote Bags,logo print to the front,black/white,,Made in Italy,1,392
MSGM,Tote Bags,faux leather,black,,,0,140
Tory Burch,Messenger & Crossbody Bags,,,New Season,,0,408
Vivienne Westwood,Tote Bags,calf leather,black,New Season,Made in Italy,0,731
PUBLISHED BY,Messenger & Crossbody Bags,engraved logo,silver-tone,,,1,558
Furla,Tote Bags,calf leather,brown/red,,,0,407
Tory Burch,Messenger & Crossbody Bags,leather,green,New Season,,1,741
3.1 Phillip Lim,Messenger & Crossbody Bags,calf leather ,black ,,,1,514
Karl Lagerfeld,Tote Bags,all-over embossed logo print,geranium orange,,,0,128
A BATHING APE®,Belt Bags,camouflage pattern,khaki/dark green/black,New Season,,1,372
Philipp Plein,Messenger & Crossbody Bags,leather,black,,Made in Italy,1,607
Palm Angels,Messenger & Crossbody Bags,calf leather,yellow,,Made in Italy,1,590
Tila March,Messenger & Crossbody Bags,leather,midnight blue,,,0,213
Yuzefi,Tote Bags,calf leather,black,,,0,302
Moncler,Tote Bags,,,,Made in Italy,0,820
Marc Jacobs,Tote Bags,all-over sequin embellishment,black,New Season,,1,685
Coperni,Tote Bags,calf leather,black,,Made in Italy,1,576
Marc Jacobs,Tote Bags,lambskin,taupe brown,,,1,539
LIU JO,Shoulder Bags,artificial leather,scarlet,,,0,140
Kate Spade,Tote Bags,calf leather,black,New Season,,0,515
Lancel,Bucket Bags,leather,brown,,Made in Italy,0,725
PINKO,Messenger & Crossbody Bags,calf leather,jet black,New Season,,0,264
Furla,Tote Bags,calf leather,cognac brown,,Made in Italy,0,415
Mulberry,Messenger & Crossbody Bags,leather,black,,,1,1025
Karl Lagerfeld,Messenger & Crossbody Bags,logo patch to the front,black,New Season,,0,143
Tila March,Messenger & Crossbody Bags,leather,plum purple,,,0,213
Michael Michael Kors,Tote Bags,,,,,0,205
BY FAR,Shoulder Bags,calf leather,khaki beige,,,1,398
Valentino Garavani,Shoulder Bags,calf leather,antique brass,,Made in Italy,0,2194
Versace Jeans Couture,Shoulder Bags,faux leather,red,,,1,177
MC2 Saint Barth,Tote Bags,fringe detailing,jet black,,,0,126
BY FAR,Shoulder Bags,calf leather,salmon pink,,,0,222
DKNY,Shoulder Bags,calf leather,jet black,,,0,301
Mulberry,Backpacks,ECONYL®,mulberry green,,,0,717
Kate Spade,Tote Bags,patterned jacquard,cream white/brown,New Season,,0,401
A.P.C.,Messenger & Crossbody Bags,calf leather,violet purple,,,1,456
Valentino Garavani,Tote Bags,leather,neutrals,,Made in Italy,1,1319
la milanesa,Clutch Bags,crochet knit,bright red,,Made in Italy,0,112
1017 ALYX 9SM,Backpacks,calf leather,black,New Season,,0,492
See by Chloé,Messenger & Crossbody Bags,calf leather,light beige,,,0,254
Marc Jacobs,Messenger & Crossbody Bags,leather,beige/multicolour,,,0,502
Bally,Messenger & Crossbody Bags,leather,black,,Made in Italy,1,504
Paco Rabanne,Shoulder Bags,metal,silver-tone,New Season,,1,1739
Lauren Ralph Lauren,Tote Bags,,,,,0,481
Ferragamo,Tote Bags,single top handle,black,,Made in Italy,1,2116
Calvin Klein,Tote Bags,faux leather,white,New Season,,0,187
Zadig&Voltaire,Messenger & Crossbody Bags,leather,white,,Made in Italy,1,535
A.P.C.,Shoulder Bags,embroidered logo,black,,,0,90
Love Moschino,Messenger & Crossbody Bags,gold-tone hardware,blush beige,,,0,158
Love Moschino,Messenger & Crossbody Bags,,,,,0,99
DKNY,Messenger & Crossbody Bags,,,,,0,354
Tory Burch,Tote Bags,leather,grey/brown,,,0,1036
Lanvin,Shoulder Bags,lambskin,cream white,,Made in Italy,1,905
A.P.C.,Messenger & Crossbody Bags,calf leather/cotton,dark brown,,,1,570
A.P.C.,Tote Bags,cotton,deep-green,,,0,91
Bao Bao Issey Miyake,Shoulder Bags,geometric panelled design,charcoal grey,,,1,552
Chloé,Shoulder Bags,calf leather,brown,,,0,1031
Stella McCartney,Messenger & Crossbody Bags,faux leather,rust red,Conscious,Made in Italy,1,689
Plan C,Tote Bags,wax coated,black/white/red,,Made in Italy,0,384
Michael Michael Kors,Shoulder Bags,calf leather/calf suede,black,,,1,357
PINKO,Messenger & Crossbody Bags,calf leather,fuchsia pink,New Season,,1,318
Nina Ricci,Shoulder Bags,lambskin,black,,Made in Italy,1,572
Jacquemus,Tote Bags,calf leather,lilac purple,,,1,887
Versace Jeans Couture,Mini Bags,multicolour,black,,,0,162
Seletti,Clutch Bags,graphic print,black,,,0,86
Zadig&Voltaire,Bag Accessories,glass crystal embellishment,optical white,,,0,35
Issey Miyake,Shoulder Bags,faux leather,jet black,,,0,983
Love Moschino,Bucket Bags,quilted,blood red,,,0,102
LIU JO,Messenger & Crossbody Bags,faux leather,coffee brown,,,0,117
Moschino,Shoulder Bags,sheepskin,yellow,,Made in Italy,0,716
Moschino,Backpacks,cotton blend,teal blue/cloud white,New Season,Made in Italy,0,899
PINKO,Messenger & Crossbody Bags,calf leather,light pink,,,1,248
Philipp Plein,Tote Bags,calf leather,black,,Made in Italy,0,1375
Philipp Plein,Shoulder Bags,calf leather,jet black,,Made in Italy,0,1545
Zac Zac Posen,Messenger & Crossbody Bags,faux-shearling design,mauve,,,0,182
Furla,Messenger & Crossbody Bags,leather,sunset orange,,,1,281
Themoirè,Shoulder Bags,calf leather,dark viola,Conscious,,0,227
Manu Atelier,Shoulder Bags,calf leather,cream white/white,,,0,305
Alexander McQueen,Messenger & Crossbody Bags,leather,black,,Made in Italy,1,1034
John Richmond,Shoulder Bags,faux leather,black,,,0,105
Lancel,Shoulder Bags,leather,black,,,0,360
Love Moschino,Backpacks,gold-tone logo lettering,plum purple,,,0,350
Elisabetta Franchi,Tote Bags,rectangle shape,black,New Season,,0,466
A.P.C.,Shoulder Bags,calf leather,almond beige/brown,,,0,809
Marni,Tote Bags,wool blend,brown/black,,Made in Italy,1,683
DKNY,Tote Bags,all-over logo print,black,New Season,,0,240
Calvin Klein,Messenger & Crossbody Bags,gold-tone logo plaque,black,,,0,157
Furla,Bucket Bags,leather,black,,,1,283
Stella McCartney,Messenger & Crossbody Bags,faux-leather,blue grey,Conscious,Made in Italy,1,869
Woolrich,Tote Bags,wool blend,black/red/white,,Made in Italy,0,198
Zadig&Voltaire,Shoulder Bags,leather/cotton,blue,,,0,585
Coccinelle,Messenger & Crossbody Bags,stud detail,pink/brown,,,0,313
Alexander McQueen,Tote Bags,calf leather,camel brown,,Made in Italy,0,1603
Supreme,Shoulder Bags,signature box logo,black,New Season,Made in United States,1,269
Anya Hindmarch,Bag Accessories,,,,,0,58
Blumarine,Tote Bags,faux-fur detailing,black/white,,Made in Italy,0,354
Furla,Tote Bags,leather,beige/black,New Season,Made in Italy,0,497
Versace,Shoulder Bags,,,,Made in Italy,0,2098
Marshall Columbia,Shoulder Bags,top zip fastening,light pink/tangerine orange,,Made in United States,0,225
LIU JO,Shoulder Bags,faux leather,off-white,New Season,,0,144
TWINSET,Tote Bags,calf leather,beige,New Season,,0,212
Saint Laurent,Messenger & Crossbody Bags,,,,Made in Italy,0,3350
Emporio Armani,Tote Bags,,,,,0,540
Marc Jacobs,Shoulder Bags,calf leather,new cloud,New Season,,1,659
Karl Lagerfeld,Messenger & Crossbody Bags,quilted,black,New Season,,0,334
Coccinelle,Tote Bags,leather,pink,,,0,324
Tommy Hilfiger,Tote Bags,gold-tone hardware,black,,,0,163
TWINSET,Tote Bags,gold-tone logo lettering,black,,,0,140
Proenza Schouler,Messenger & Crossbody Bags,,,,Made in Italy,0,1595
Dolce & Gabbana,Messenger & Crossbody Bags,calf leather,black,New Season,Made In Italy,1,2046
Karl Lagerfeld,Tote Bags,recycled cotton blend,light beige,New Season,,1,143
MCM,Messenger & Crossbody Bags,,,,,0,778
Alexander McQueen,Tote Bags,leather,black,New Season,Made in Italy,0,2077
Moschino,Messenger & Crossbody Bags,sheepskin,black,New Season,Made in Italy,0,1433
Balenciaga,Bucket Bags,calf leather,silver-tone,Conscious,Made in Italy,1,2000
PINKO,Messenger & Crossbody Bags,,,,,0,344
Courrèges,Tote Bags,,,,,0,805
Tory Burch,Messenger & Crossbody Bags,lambskin,orange,,,1,433
Furla,Bucket Bags,calf leather,blue,New Season,,0,402
Balenciaga,Tote Bags,calf leather,light gold-tone,Conscious,Made in Italy,1,2350
Love Moschino,Backpacks,quilted panels,blush beige,,,0,196
Love Moschino,Backpacks,quilted,black,New Season,,0,284
Alexander McQueen,Clutch Bags,calf leather,black,,Made in Italy,1,1294
Themoirè,Shoulder Bags,embossed crocodile effect,sand beige,Conscious,Made in Italy,0,248
Moschino,Shoulder Bags,deep pink,sheepskin,,Made in Italy,0,596
A.P.C.,Messenger & Crossbody Bags,calf leather,black,New Season,,0,516
SANDRO,Shoulder Bags,calf leather/cotton,beige,Conscious,,0,360
Balmain,Tote Bags,leather,pink,,Made in Italy,1,2548
Helen Kaminski,Tote Bags,woven raffia design,brown,,,0,225
Givenchy,Tote Bags,,,New Season,Made in Italy,0,1325
Marc Jacobs,Tote Bags,cracked effect,grey,,,0,737
Diesel,Tote Bags,cotton,ecru,New Season,,1,464
JW Anderson,Messenger & Crossbody Bags,calf leather,sand beige,,,0,818
BY FAR,Tote Bags,leather/cotton,ash grey,,,0,205
Maison Margiela,Bucket Bags,cotton/leather,blue,New Season,Made in Italy,0,1349
Stella McCartney,Tote Bags,faux leather,buttercream beige,Conscious,Made in Italy,1,1193
Furla,Tote Bags,leather,black,,,0,376
Love Moschino,Tote Bags,faux leather,blue,,,0,111
Alexander McQueen,Clutch Bags,calf leather,ivory white,New Season,Made in Italy,0,2590
Lanvin,Shoulder Bags,lambskin,off-white,,,0,1432
See by Chloé,Messenger & Crossbody Bags,gold-tone hardware,burgundy,New Season,,0,474
Thom Browne,Luggage,calf leather,grey/red/navy blue,,Made in Italy,1,1961
Tory Burch,Messenger & Crossbody Bags,velvet,teal blue,New Season,,0,1064
Hereu,Tote Bags,coated finish,aqua green,,,0,198
Golden Goose,Shoulder Bags,leather,natural brown,,Made in Italy,0,786
Off-White,Shoulder Bags,leather,lilac,,Made in Italy,1,983
Coach,Messenger & Crossbody Bags,,,,,0,496
Marc Jacobs,Shoulder Bags,leather,lime green,New Season,,1,605
Bao Bao Issey Miyake,Tote Bags,geometric panelled design,black,,,0,550
Marc Jacobs,Shoulder Bags,sequin embellishment,taupe,New Season,,1,635
LIU JO,Messenger & Crossbody Bags,faux leather,light brown,,,0,128
SANDRO,Shoulder Bags,leather,noir black,Conscious,,0,421
Saint Laurent,Tote Bags,leather,beige,,Made in Italy,1,1297
Furla,Tote Bags,high-shine finish,neon pink/black,,,0,265
Michael Michael Kors,Shoulder Bags,leather,luggage brown,,,0,354
Balenciaga,Tote Bags,calfskin,black,Conscious,Made in Italy,1,1065
John Richmond,Shoulder Bags,artificial leather,black,,,0,138
JW Anderson,Messenger & Crossbody Bags,leather,forest green,,,1,630
Jil Sander,Shoulder Bags,leather,black,,Made in Italy,1,1330
Balmain,Tote Bags,calfskin,taupe brown,New Season,,0,2367
Alexander McQueen,Shoulder Bags,calf leather,scarlet,New Season,Made in Italy,0,3290
Valentino Garavani,Shoulder Bags,leather,black,,Made in Italy,1,3871
Coach,Shoulder Bags,calf leather,oxblood red,New Season,,0,469
Stella McCartney,Tote Bags,,,Conscious,Made in Italy,0,961
Balmain,Shoulder Bags,lambskin,black,New Season,Made in Italy,1,2647
Balmain,Shoulder Bags,cotton,black,New Season,Made in Italy,1,1067
Saint Laurent,Shoulder Bags,,,,Made in Italy,0,1816
Bao Bao Issey Miyake,Tote Bags,geometric panelled design,dark green,,,1,627
Manu Atelier,Tote Bags,calf leather,royal orange/white,,,0,329
Alexander McQueen,Bucket Bags,leather,off white/black,,Made in Italy,0,1090
AMBUSH,Clutch Bags,lambskin,black,,Made in Italy,1,537
Furla,Messenger & Crossbody Bags,leather,rose-pink,,,0,157
Tory Burch,Tote Bags,calf leather,light pink,New Season,,1,510
Zadig&Voltaire,Shoulder Bags,calf leather,black,New Season,Made in Italy,0,585
Tory Burch,Shoulder Bags,calf leather,light beige,New Season,,1,381
Nana-Nana,Shoulder Bags,transparent design,white,,,0,135
Balmain,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,1,2647
Proenza Schouler White Label,Tote Bags,cotton blend,ocean blue/multicolour,New Season,,0,395
Maison Margiela,Shoulder Bags,calf leather/cotton,black,New Season,Made in Italy,0,1379
Jimmy Choo,Bucket Bags,calf leather,lilac,New Season,Made in Italy,0,1295
Zadig&Voltaire,Shoulder Bags,cotton,multicolour,New Season,,0,395
MSGM,Tote Bags,mirco-logo detailing,black,,,0,377
Kate Spade,Tote Bags,logo lettering,multicolour,,,0,351
Jil Sander,Bucket Bags,calf leather,black,,Made in Italy,0,827
Stella McCartney,Shoulder Bags,faux leather,buttercream,Conscious,Made in Italy,1,713
Versace,Clutch Bags,lambskin/calf leather,black/versace gold-tone,,Made in Italy,1,1168
Jimmy Choo,Clutch Bags,lambskin,black,New Season,Made in Italy,0,2615
Emporio Armani,Tote Bags,,,New Season,,0,405
Acne Studios,Messenger & Crossbody Bags,calf suede,light pink,New Season,Made in Italy,0,878
Coach,Shoulder Bags,calf leather,dark stone brown,New Season,,0,358
PINKO,Messenger & Crossbody Bags,sheepskin,pink,New Season,,1,351
Alexander Wang,Messenger & Crossbody Bags,deconstructed design,black,,,1,402
Jimmy Choo,Clutch Bags,nappa leather,white/multicolour,New Season,Made in Italy,0,1625
Jimmy Choo,Clutch Bags,lambskin,gold-tone,,Made in Italy,1,795
Jimmy Choo,Clutch Bags,,,,Made in Italy,0,3250
Michael Michael Kors,Tote Bags,calf leather,camel brown,New Season,,0,420
PINKO,Messenger & Crossbody Bags,calf leather,cloud white,New Season,,0,354
PINKO,Messenger & Crossbody Bags,calf leather,black,New Season,,1,354
Valentino Garavani,Tote Bags,leather,camel brown,,Made in Italy,1,3562
Saint Laurent,Messenger & Crossbody Bags,calf leather,brown,,Made in Italy,1,1450
Alexander McQueen,Tote Bags,calf leather,rose pink,New Season,Made in Italy,0,1290
Jil Sander,Shoulder Bags,leather,black,,Made in Italy,1,635
Ferragamo,Tote Bags,calf leather,black,,Made in Italy,0,1619
A.P.C.,Clutch Bags,calf leather ,Noisette brown ,,,0,186
Tory Burch,Messenger & Crossbody Bags,leather,cognac brown,,,0,731
PINKO,Messenger & Crossbody Bags,calf leather,black,New Season,,1,474
Zadig&Voltaire,Messenger & Crossbody Bags,logo plaque,jet-black,,,0,445
PINKO,Shoulder Bags,recycled nylon,blue,New Season,,0,420
PINKO,Messenger & Crossbody Bags,calf leather,jet black,,,0,600
Patou,Shoulder Bags,leather,black,,,1,1051
Valentino Garavani,Tote Bags,leather,rose pink,,Made in Italy,1,3562
Saint Laurent,Beach Bags,raffia/leather,beige/black,,,1,2150
Ferragamo,Messenger & Crossbody Bags,calf leather,black,New Season,Made in Italy,0,1477
Zadig&Voltaire,Tote Bags,calf suede,beige,,Made in Italy,0,760
JW Anderson,Tote Bags,recycled polyester blend,multicolour,New Season,,1,662
MCM,Messenger & Crossbody Bags,canvas,black,,,0,463
Tory Burch,Bucket Bags,calf leather,black,New Season,,1,833
Dolce & Gabbana,Messenger & Crossbody Bags,calf leather,apple green,New Season,Made in Italy,1,940
Versace,Messenger & Crossbody Bags,calf leather,white,,Made in Italy,0,1439
Mulberry,Messenger & Crossbody Bags,leather,meadow green,Conscious,,0,1365
Maison Margiela,Shoulder Bags,signature numbers motif,black,,Made in Italy,0,1019
Michael Kors,Shoulder Bags,calf leather,black,New Season,,0,593
JW Anderson,Messenger & Crossbody Bags,calf leather,beige,New Season,,0,416
PINKO,Tote Bags,calf leather,blue,New Season,,1,349
Marni,Clutch Bags,calf leather,orange,,Made in Italy,0,899
MCM,Backpacks,leather,blossom pink,New Season,,0,1027
Proenza Schouler White Label,Tote Bags,cotton,black/white/brown,,,1,395
Proenza Schouler,Shoulder Bags,leather,yellow,,Made in Italy,1,663
Kate Spade,Messenger & Crossbody Bags,lambskin,black,New Season,,0,589
Karl Lagerfeld,Beach Bags,cotton,hot pink,New Season,,0,198
Marni,Bucket Bags,cotton/calf leather ,sienna brown/black,,Made in Italy,0,827
Jil Sander,Messenger & Crossbody Bags,leather,black,,Made in Italy,1,719
ATP Atelier,Shoulder Bags,calf leather,bubblegum pink,Conscious,Made in Italy,0,231
Kate Spade,Tote Bags,interwoven design,light pink/multicolour,,,0,351
Proenza Schouler White Label,Messenger & Crossbody Bags,leather,vanilla white,,,1,295
Stella McCartney,Messenger & Crossbody Bags,faux leather,white,Conscious,Made in Italy,1,659
Saint Laurent,Messenger & Crossbody Bags,calf leather suede,brown,,Made in Italy,1,1590
Furla,Tote Bags,leather,brown,New Season,Made in Italy,0,450
Moschino,Shoulder Bags,calf leather,white/multicolour,,Made in Italy,0,323
Saint Laurent,Shoulder Bags,calf leather,black,,Made in Italy,1,2850
Coccinelle,Shoulder Bags,calf leather,brown,,,0,348
Chloé,Tote Bags,calf leather/linen/flax,beige,New Season,Made in Italy,0,1906
Marc Jacobs,Mini Bags,sequin embellishment,black,New Season,,1,396
Valentino Garavani,Messenger & Crossbody Bags,leather,brown,,Made in Italy,0,1720
Tory Burch,Messenger & Crossbody Bags,calf leather,brie white,,Made in United States,0,467
Versace,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,0,1318
DKNY,Tote Bags,calf leather,black,New Season,,0,276
Ferragamo,Tote Bags,calf leather,black ,,Made in Italy,1,2269
Alexander Wang,Tote Bags,crystal embellishment,black/silver-tone,,,1,778
ETRO,Tote Bags,paisley print,brown,,Made in Italy,0,498
Manu Atelier,Shoulder Bags,calf leather,black,,,1,474
Dolce & Gabbana,Messenger & Crossbody Bags,calf leather,optical white,,Made in Italy,1,1101
BY FAR,Shoulder Bags,leather/cotton,black,,,1,474
Jimmy Choo,Tote Bags,tonal design,pink,,Made in Italy,1,862
A.P.C.,Messenger & Crossbody Bags,leather,brown,,,0,293
Tod's,Shoulder Bags,calf leather,black,,Made in Italy,1,2038
Alexander McQueen,Messenger & Crossbody Bags,calf leather ,black,,Made in Italy,1,1090
Alexander McQueen,Messenger & Crossbody Bags,logo print to the front,cream white,New Season,,0,890
Cult Gaia,Clutch Bags,pearlescent finish,ivory white,,,1,340
Versace Jeans Couture,Tote Bags,faux leather,white,New Season,,1,258
Saint Laurent,Messenger & Crossbody Bags,leather/suede,dark cookie,,Made in Italy,0,1950
Proenza Schouler White Label,Tote Bags,leather/cotton,black/white/brown,,,1,450
ETRO,Tote Bags,,,,Made in Italy,0,608
Saint Laurent,Shoulder Bags,chain-link shoulder strap,grey,,Made in Italy,0,2990
JW Anderson,Mini Bags,calf leather/suede,black,,,1,607
Marni,Tote Bags,calf leather,black/green,,Made in Italy,1,1619
Alexander McQueen,Clutch Bags,leather,black,,Made in Italy,1,990
Mansur Gavriel,Bucket Bags,,,,Made in Italy,0,514
